,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,ppi,IPS,TouchScreen
263,Dell,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.18,58611,141.0,0,0
264,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.24,50404,141.0,0,0
265,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,2.67,71279,141.0,0,1
266,Asus,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.1,133726,166.0,0,1
267,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,2.2,41661,141.0,0,0
268,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,90816,127.0,0,0
269,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.05,78505,141.0,0,0
270,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,174753,227.0,1,0
271,Asus,Gaming,AMD Ryzen Series,16,AMD Radeon,Windows 10,3.2,138186,127.0,0,0
272,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.14,65576,141.0,0,0
273,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.36,222936,210.0,0,1
274,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,72439,100.0,0,0
275,Dell,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.3,63613,100.0,0,0
276,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.8,98042,127.0,0,0
277,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,66461,141.0,1,0
278,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.8,43624,106.0,0,0
279,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.8,75739,127.0,0,0
280,Lenovo,Notebook,Intel Core i7,6,Nvidia GeForce,Windows 10,2.8,76631,106.0,0,0
281,Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux,2.25,38182,141.0,0,0
282,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,73955,141.0,1,0
283,Lenovo,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.2,51653,141.0,0,0
284,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,84839,141.0,1,0
285,Acer,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.15,58789,141.0,1,1
286,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.95,97863,141.0,1,0
287,Asus,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.7,87158,141.0,0,0
288,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,105179,141.0,1,0
289,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.2,58790,141.0,0,0
290,Acer,Notebook,Other Intel Processor,2,Intel HD,Chrome OS,2.19,17753,100.0,0,0
291,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,105892,127.0,0,0
292,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.54,43624,106.0,0,0
293,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,163165,141.0,0,0
294,Lenovo,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.05,65926,141.0,0,0
295,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.2,115884,141.0,1,0
296,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux,2.5,87337,141.0,0,0
297,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,3.42,257358,127.0,0,0
298,Lenovo,Notebook,AMD A-Series,6,AMD Radeon,Windows 10,2.4,44516,141.0,0,0
299,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.63,130960,141.0,0,0
300,Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.3,45408,112.0,0,0
301,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,189304,127.0,0,0
302,Lenovo,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,2.8,57897,106.0,0,0
303,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,48976,100.0,0,0
304,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,112851,141.0,0,0
305,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,2.2,32115,100.0,0,0
306,HP,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.28,176190,166.0,0,1
307,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,93046,141.0,1,0
308,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,73063,141.0,0,0
309,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,41839,141.0,0,0
310,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.1,89121,166.0,1,0
311,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.21,222936,331.0,1,1
312,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,187252,141.0,1,0
313,Acer,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,2.23,41839,141.0,0,0
314,Asus,2 in 1 Convertible,Other Intel Processor,2,Intel HD,Windows 10,1.1,24533,135.0,0,1
315,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.33,75293,141.0,0,0
316,HP,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.29,218475,331.0,1,1
317,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Chrome OS,1.45,41028,118.0,0,0
318,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.95,87426,157.0,0,0
319,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.4,43267,135.0,0,0
320,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.48,115259,157.0,0,0
321,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.79,52545,106.0,0,0
322,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,97596,157.0,0,0
323,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.1,80467,100.0,1,0
324,Acer,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,2.2,58789,100.0,0,0
325,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,26049,112.0,0,0
326,Acer,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.23,48976,100.0,0,0
327,Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,93662,141.0,0,0
328,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.26,119095,176.0,0,0
329,Dell,Notebook,Intel Core i7,32,Nvidia GeForce,Windows 10,2.06,235425,282.0,0,1
330,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,106963,127.0,0,0
331,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,84125,141.0,1,0
332,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,119006,157.0,0,0
333,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,40055,141.0,0,0
334,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,89121,141.0,0,0
335,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.48,113118,157.0,0,0
336,Dell,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.9,93581,141.0,1,0
337,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.84,102056,141.0,0,0
338,Asus,Notebook,Other Intel Processor,4,Intel HD,Linux,2.0,24532,100.0,0,0
339,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.0,101945,141.0,0,0
340,Dell,Notebook,Other Intel Processor,4,Intel HD,Linux,2.2,24524,100.0,0,0
341,Lenovo,Notebook,AMD A-Series,12,AMD Radeon,Windows 10,2.2,80200,141.0,0,0
342,HP,Notebook,Intel Core i3,8,Nvidia GeForce,Windows 10,2.1,63874,141.0,1,0
344,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,140863,166.0,0,0
345,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,100718,141.0,1,0
346,HP,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.44,24890,112.0,0,0
347,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.88,143446,141.0,0,0
348,Asus,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.5,33454,135.0,0,1
349,Dell,Ultrabook,Intel Core i5,8,AMD Radeon,Windows 10,1.9,59146,141.0,0,0
350,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,180866,282.0,0,1
351,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.84,116330,141.0,0,0
352,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,125697,127.0,0,0
353,HP,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.6,155071,141.0,0,0
354,Toshiba,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,125162,141.0,1,0
355,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.02,86614,141.0,0,0
356,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,2.2,28725,100.0,0,0
357,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,89121,141.0,0,0
358,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.36,49723,100.0,0,1
359,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.36,127303,157.0,0,0
360,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,39163,100.0,0,0
361,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,84303,157.0,0,0
362,Lenovo,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,2.8,64142,106.0,0,0
363,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,57005,141.0,0,0
364,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,44516,100.0,0,0
365,HP,Notebook,Other Intel Processor,8,Intel HD,Windows 10,2.04,34703,100.0,0,0
366,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,96793,127.0,0,0
367,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,72171,141.0,1,0
368,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.33,80200,141.0,0,0
369,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,156118,157.0,1,0
370,Asus,2 in 1 Convertible,Intel Core i7,12,Nvidia GeForce,Windows 10,2.26,98042,141.0,0,1
371,Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,38003,100.0,0,0
372,Asus,Gaming,AMD Ryzen Series,16,AMD Radeon,Windows 10,3.25,196173,127.0,1,0
373,Lenovo,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.6,43624,106.0,0,0
374,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,77524,166.0,0,1
375,HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.91,43623,141.0,0,0
376,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.59,49333,135.0,1,0
377,Dell,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.8,27566,100.0,0,0
378,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.5,25514,112.0,0,0
379,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux,2.4,75472,141.0,0,0
380,HP,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.35,106249,127.0,1,0
381,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,1.85,35996,141.0,0,0
382,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.3,147643,141.0,1,0
383,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.5,98042,157.0,1,0
384,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.1,156019,166.0,0,1
385,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.13,203577,210.0,1,0
386,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.5,48976,166.0,1,0
387,Dell,Workstation,Intel Core i5,8,AMD FirePro,Windows 10,2.23,122128,141.0,0,0
388,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.0,190463,141.0,1,0
389,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,223828,210.0,0,1
390,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,92689,127.0,0,0
391,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.0,141933,127.0,0,0
392,Acer,Notebook,Intel Core i5,12,Nvidia GeForce,Windows 10,2.2,61911,100.0,1,0
393,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,120344,127.0,0,0
394,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.33,69483,141.0,0,0
395,HP,Ultrabook,AMD A-Series,4,AMD Radeon,Windows 10,1.91,44516,141.0,0,0
396,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.1,109689,141.0,1,0
397,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,83679,157.0,1,0
398,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,1.78,241938,282.0,0,1
399,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.13,234176,210.0,1,0
400,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,27298,100.0,0,0
401,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,136402,127.0,0,0
402,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.1,102101,141.0,1,0
403,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux,2.5,78416,141.0,0,0
404,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,200633,127.0,0,0
405,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.1,167090,157.0,0,0
406,Toshiba,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.2,155850,166.0,0,0
407,Dell,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,149873,157.0,0,0
408,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.2,36487,141.0,0,0
409,Lenovo,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.15,27160,135.0,0,0
410,Lenovo,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.67,171729,141.0,0,0
411,Lenovo,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,173335,210.0,1,0
412,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.1,41839,141.0,0,0
413,Acer,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.6,70388,166.0,1,1
414,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.27,82787,166.0,1,1
415,Dell,Notebook,Intel Core i5,4,AMD Radeon,Linux,2.3,53428,141.0,0,0
416,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.65,61466,118.0,0,0
417,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.43,133815,157.0,0,0
418,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.14,48169,100.0,0,0
419,Lenovo,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.75,108424,157.0,1,0
420,Lenovo,2 in 1 Convertible,Intel Core i7,16,Nvidia GeForce,Windows 10,2.0,169410,282.0,1,1
422,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.31,127303,141.0,0,0
423,Asus,Notebook,Intel Core i3,8,Nvidia GeForce,Linux,2.3,53258,141.0,0,0
424,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,249699,170.0,1,0
425,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,103394,141.0,1,0
426,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.02,101914,141.0,0,0
427,Dell,Ultrabook,Intel Core i7,8,Intel HD,Linux,1.6,98042,157.0,0,0
428,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,3.35,178331,127.0,0,0
431,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.4,90102,166.0,1,0
432,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.7,53437,157.0,1,0
433,Lenovo,Workstation,Intel Core i7,16,Nvidia GeForce,Windows 10,2.3,218118,282.0,1,0
434,Lenovo,Notebook,Intel Core i7,16,Nvidia Quadro,Windows 10,2.5,218475,141.0,0,0
435,Asus,Gaming,AMD Ryzen Series,8,AMD Radeon,Windows 10,3.2,151211,127.0,0,0
436,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,30956,100.0,0,0
438,Lenovo,Ultrabook,Intel Core i7,24,Intel HD,Windows 10,1.32,212498,210.0,0,0
439,Asus,Notebook,Intel Core i5,4,Intel HD,Linux,2.0,49868,141.0,0,0
440,Lenovo,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,2.8,46300,106.0,0,0
441,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.2,66818,141.0,0,0
442,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.36,127481,176.0,1,0
443,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,31134,141.0,0,0
444,HP,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,98042,141.0,1,0
445,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.64,105179,157.0,0,0
446,Acer,Notebook,Intel Core i5,4,Intel HD,Linux,2.4,39413,100.0,0,0
447,Dell,Workstation,Other Intel Processor,8,Nvidia Quadro,Windows 10,2.23,177796,141.0,0,0
448,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.2,91685,141.0,0,0
450,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.91,52545,100.0,0,0
451,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.17,176190,141.0,1,0
452,HP,Workstation,Intel Core i7,8,Intel HD,Windows 10,2.31,136848,141.0,1,0
453,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.65,119987,157.0,0,0
454,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.36,87337,141.0,0,0
455,Dell,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.47,42732,135.0,0,1
456,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,4.42,182524,127.0,1,0
459,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.5,57085,106.0,0,0
460,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.23,48530,141.0,0,0
461,Acer,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.4,38806,135.0,0,0
462,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.37,66818,141.0,0,0
463,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,No OS,1.5,71279,157.0,1,0
464,Lenovo,Notebook,Intel Core i7,8,Nvidia Quadro,Windows 10,2.67,186449,141.0,0,0
465,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.0,27120,100.0,0,0
466,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,41839,100.0,0,0
467,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.02,67710,141.0,0,0
468,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,3.78,151568,127.0,1,0
469,Lenovo,Ultrabook,Intel Core i7,12,Intel HD,Windows 10,1.4,165752,210.0,1,0
470,HP,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.29,178331,331.0,1,1
471,HP,Notebook,Intel Core i5,8,AMD FirePro,Windows 10,1.9,102948,141.0,0,0
473,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.42,164311,166.0,0,1
474,Asus,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.06,115884,282.0,1,0
475,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.79,66015,112.0,0,0
476,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,1.78,214818,141.0,0,0
477,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.7,121682,157.0,0,0
478,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,60217,141.0,0,0
479,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.05,149159,166.0,1,0
480,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,112583,141.0,1,0
481,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.18,52331,100.0,0,0
482,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,64766,166.0,1,0
484,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,50404,100.0,0,0
485,Lenovo,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.75,93581,157.0,1,0
486,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.17,208573,141.0,1,0
487,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,169410,141.0,0,0
488,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.36,160400,176.0,1,0
489,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,0.91,173960,176.0,0,0
490,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,90280,141.0,1,0
491,Toshiba,Ultrabook,Intel Core i7,32,Intel HD,Windows 10,1.05,249699,166.0,0,1
492,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,1.99,120433,141.0,0,0
493,Acer,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,2.2,51653,100.0,0,0
494,Asus,Gaming,Intel Core i7,24,Nvidia GeForce,Windows 10,4.33,113207,127.0,1,1
495,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.3,98042,125.0,1,0
496,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.17,80191,141.0,0,0
497,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.48,156028,157.0,0,0
498,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.4,84660,166.0,1,0
499,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.3,81270,141.0,1,0
500,Asus,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.2,30331,135.0,0,0
501,HP,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.91,55220,100.0,0,0
503,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,26674,112.0,0,0
504,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Chrome OS,1.25,23641,135.0,0,0
505,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.44,84660,166.0,0,0
506,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,109193,141.0,0,0
507,Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.2,54686,141.0,1,0
508,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.34,118025,166.0,1,0
509,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,102502,141.0,1,0
510,Dell,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.29,80200,166.0,1,1
511,Acer,Notebook,Intel Core i7,4,Nvidia GeForce,Windows 10,2.2,57005,141.0,0,0
